"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"143",1995-07-01,3172.427,1183.691,67.915,198807,5568.8,4356.118,6414.07347419569,8199.66134138261,32262.8150628282,32109.5126649738,31871.8891514302,31723.0922842724,31569.3685152957,41244.3291301745,40979.3716747235,40951.9696590347,40666.6851483306,40204.4681550505
"144",1995-10-01,3211.762,1191.651,68.214,199351.666666667,5625.1,4403.413,6455.29216876301,8246.25443457355,32381.4306481662,32262.8150628282,32109.5126649738,31871.8891514302,31723.0922842724,41365.3648974102,41244.3291301745,40979.3716747235,40951.9696590347,40666.6851483306
"145",1996-01-01,3259.617,1211.173,68.593,199776,5708.96666666667,4470.79,6517.85167582698,8322.95812497874,32625.7992743221,32381.4306481662,32262.8150628282,32109.5126649738,31871.8891514302,41661.4514505183,41365.3648974102,41244.3291301745,40979.3716747235,40951.9696590347
"146",1996-04-01,3304.626,1239.541,69.052,200279.333333333,5799.06666666667,4544.167,6580.78983954122,8398.11542991755,32858.0574441424,32625.7992743221,32381.4306481662,32262.8150628282,32109.5126649738,41932.012106013,41661.4514505183,41365.3648974102,41244.3291301745,40979.3716747235
"147",1996-07-01,3348.618,1246.505,69.346,200849.666666667,5869.26666666667,4595.123,6626.37066305194,8463.74220094406,32991.6936036004,32858.0574441424,32625.7992743221,32381.4306481662,32262.8150628282,42139.68756538,41932.012106013,41661.4514505183,41365.3648974102,41244.3291301745
"148",1996-10-01,3394.838,1268.285,69.819,201457.333333333,5939.1,4663.123,6678.87394548762,8506.42375284665,33152.7963513579,32991.6936036004,32858.0574441424,32625.7992743221,32381.4306481662,42224.4433205707,42139.68756538,41932.012106013,41661.4514505183,41365.3648974102
"149",1997-01-01,3446.497,1281.017,70.127,202395.666666667,6020.03333333333,4727.514,6741.36067420537,8584.47293244162,33307.8310678854,33152.7963513579,32991.6936036004,32858.0574441424,32625.7992743221,42414.3118962113,42224.4433205707,42139.68756538,41932.012106013,41661.4514505183
"150",1997-04-01,3496.96,1277.72,70.303,202835.333333333,6087.06666666667,4774.68,6791.57361705759,8658.33131824626,33483.1880888155,33307.8310678854,33152.7963513579,32991.6936036004,32858.0574441424,42686.5042493234,42414.3118962113,42224.4433205707,42139.68756538,41932.012106013
"151",1997-07-01,3559.055,1297.345,70.488,203366.666666667,6175.3,4856.4,6889.68335035751,8760.78197707411,33878.1348157229,33483.1880888155,33307.8310678854,33152.7963513579,32991.6936036004,43078.7509116904,42686.5042493234,42414.3118962113,42224.4433205707,42139.68756538
"152",1997-10-01,3618.627,1307.821,70.71,203935.333333333,6286.16666666667,4926.448,6967.11639089238,8890.06741149295,34163.360890016,33878.1348157229,33483.1880888155,33307.8310678854,33152.7963513579,43592.5803841068,43078.7509116904,42686.5042493234,42414.3118962113,42224.4433205707
